PERMNO,date,TICKER,PRC,VOL
14593,2019-04-26,AAPL,204.30000,18648802
14593,2019-04-29,AAPL,204.61000,22202685
14593,2019-04-30,AAPL,200.67000,46544289
14593,2019-05-01,AAPL,210.52000,64824888
14593,2019-05-02,AAPL,209.14999,31991644
14593,2019-05-03,AAPL,211.75000,20889860
14593,2019-05-06,AAPL,208.48000,32462506
14593,2019-05-07,AAPL,202.86000,38762998
14593,2019-05-08,AAPL,202.89999,26338504
14593,2019-05-09,AAPL,200.72000,34907732
14593,2019-05-10,AAPL,197.17999,41209333
14593,2019-05-13,AAPL,185.72000,57428248
14593,2019-05-14,AAPL,188.66000,36528577
14593,2019-05-15,AAPL,190.92000,26543819
14593,2019-05-16,AAPL,190.08000,33055064
14593,2019-05-17,AAPL,189.00000,32877900
14593,2019-05-20,AAPL,183.09000,38612734
14593,2019-05-21,AAPL,186.60001,28362748
14593,2019-05-22,AAPL,182.78000,29742557
14593,2019-05-23,AAPL,179.66000,36524451
14593,2019-05-24,AAPL,178.97000,23711486
14593,2019-05-28,AAPL,178.23000,27943231
14593,2019-05-29,AAPL,177.38000,28478896
14593,2019-05-30,AAPL,178.30000,21210823
14593,2019-05-31,AAPL,175.07001,27041199
14593,2019-06-03,AAPL,173.30000,40386569
14593,2019-06-04,AAPL,179.64000,30956074
14593,2019-06-05,AAPL,182.53999,29761727
14593,2019-06-06,AAPL,185.22000,22523211
14593,2019-06-07,AAPL,190.14999,30672393
14593,2019-06-10,AAPL,192.58000,26213291
14593,2019-06-11,AAPL,194.81000,26923682
14593,2019-06-12,AAPL,194.19000,18228389
14593,2019-06-13,AAPL,194.14999,21888245
14593,2019-06-14,AAPL,192.74001,18741774
14593,2019-06-17,AAPL,193.89000,14663494
14593,2019-06-18,AAPL,198.45000,26552004
14593,2019-06-19,AAPL,197.87000,21122515
14593,2019-06-20,AAPL,199.46001,21902988
14593,2019-06-21,AAPL,198.78000,47795010
14593,2019-06-24,AAPL,198.58000,18712221
14593,2019-06-25,AAPL,195.57001,21063643
14593,2019-06-26,AAPL,199.80000,26062169
14593,2019-06-27,AAPL,199.74001,20887907
14593,2019-06-28,AAPL,197.92000,31090917
14593,2019-07-01,AAPL,201.55000,27301274
14593,2019-07-02,AAPL,202.73000,16934518
14593,2019-07-03,AAPL,204.41000,11359745
14593,2019-07-05,AAPL,204.23000,17256918
14593,2019-07-08,AAPL,200.02000,25333443
14593,2019-07-09,AAPL,201.24001,20569915
14593,2019-07-10,AAPL,203.23000,17892756
14593,2019-07-11,AAPL,201.75000,20177392
14593,2019-07-12,AAPL,203.30000,17586813
14593,2019-07-15,AAPL,205.21001,16928121
14593,2019-07-16,AAPL,204.50000,16857399
14593,2019-07-17,AAPL,203.35001,14096678
14593,2019-07-18,AAPL,205.66000,18574811
14593,2019-07-19,AAPL,202.59000,20917720
14593,2019-07-22,AAPL,207.22000,22216354
14593,2019-07-23,AAPL,208.84000,18334380
14593,2019-07-24,AAPL,208.67000,14986867
14593,2019-07-25,AAPL,207.02000,13902767
14593,2019-07-26,AAPL,207.74001,17627074
14593,2019-07-29,AAPL,209.67999,21654489
14593,2019-07-30,AAPL,208.78000,33896655
14593,2019-07-31,AAPL,213.03999,69244350
14593,2019-08-01,AAPL,208.42999,54311222
14593,2019-08-02,AAPL,204.02000,40847150
14593,2019-08-05,AAPL,193.34000,52387541
14593,2019-08-06,AAPL,197.00000,35819392
14593,2019-08-07,AAPL,199.03999,33363472
14593,2019-08-08,AAPL,203.42999,27004723
14593,2019-08-09,AAPL,200.99001,24613446
14593,2019-08-12,AAPL,200.48000,22468589
14593,2019-08-13,AAPL,208.97000,47535186
14593,2019-08-14,AAPL,202.75000,36538683
14593,2019-08-15,AAPL,201.74001,27879916
14593,2019-08-16,AAPL,206.50000,28807925
14593,2019-08-19,AAPL,210.35001,24422407
14593,2019-08-20,AAPL,210.36000,26913129
14593,2019-08-21,AAPL,212.64000,21563248
14593,2019-08-22,AAPL,212.46001,22257315
14593,2019-08-23,AAPL,202.64000,46863844
14593,2019-08-26,AAPL,206.49001,26063130
14593,2019-08-27,AAPL,204.16000,25896044
14593,2019-08-28,AAPL,205.53000,15949732
14593,2019-08-29,AAPL,209.00999,21004630
14593,2019-08-30,AAPL,208.74001,21161461
14593,2019-09-03,AAPL,205.70000,20053174
14593,2019-09-04,AAPL,209.19000,19211820
14593,2019-09-05,AAPL,213.28000,23939878
14593,2019-09-06,AAPL,213.25999,19356432
14593,2019-09-09,AAPL,214.17000,27297513
14593,2019-09-10,AAPL,216.70000,31768578
14593,2019-09-11,AAPL,223.59000,44257876
14593,2019-09-12,AAPL,223.08501,32218891
14593,2019-09-13,AAPL,218.75000,39760996
14593,2019-09-16,AAPL,219.89999,21154486
14593,2019-09-17,AAPL,220.70000,18382388
14593,2019-09-18,AAPL,222.77000,25635196
14593,2019-09-19,AAPL,220.96001,22180876
14593,2019-09-20,AAPL,217.73000,57988486
14593,2019-09-23,AAPL,218.72000,19410863
14593,2019-09-24,AAPL,217.67999,31431174
14593,2019-09-25,AAPL,221.03000,22474707
14593,2019-09-26,AAPL,219.89000,19084919
14593,2019-09-27,AAPL,218.82001,25355885
14593,2019-09-30,AAPL,223.97000,26316121
14593,2019-10-01,AAPL,224.59000,36184163
14593,2019-10-02,AAPL,218.96001,35762557
14593,2019-10-03,AAPL,220.82001,30339486
14593,2019-10-04,AAPL,227.00999,34738253
